========================================
[2026-03-20 16:03:08] RIFUSDT 从primary榜消失
  霸榜次数: 115 | 最后BBW: 5.36% | 最后价格: 0.0386
  最后Ratio: 1.09

========================================
[2026-03-20 16:03:08] BROCCOLIF3BUSDT 从secondary榜消失
  霸榜次数: 59 | 最后BBW: 5.77% | 最后价格: 0.00317
  最后Ratio: 1.16

========================================
[2026-03-20 16:03:08] KNCUSDT 从primary榜消失
  霸榜次数: 36 | 最后BBW: 2.63% | 最后价格: 0.1356
  最后Ratio: 1.47

========================================
[2026-03-20 16:03:08] BCHUSDT 从primary榜消失
  霸榜次数: 19 | 最后BBW: 3.54% | 最后价格: 465.9
  最后Ratio: 0.07

========================================
[2026-03-20 16:03:08] CVCUSDT 从primary榜消失
  霸榜次数: 15 | 最后BBW: 2.15% | 最后价格: 0.03151
  最后Ratio: 0.84

========================================
[2026-03-20 16:03:08] ARPAUSDT 从primary榜消失
  霸榜次数: 15 | 最后BBW: 2.52% | 最后价格: 0.00992
  最后Ratio: 1.58

========================================
[2026-03-20 16:03:08] CAKEUSDT 从primary榜消失
  霸榜次数: 13 | 最后BBW: 2.12% | 最后价格: 1.427
  最后Ratio: 1.15

========================================
[2026-03-20 16:03:08] ALLOUSDT 从primary榜消失
[2026-03-20 21:56:35] DISAPPEAR: KOMAUSDT (Board:secondary, Rounds:11, LastBBW:1.74%)
[2026-03-20 21:56:35] DISAPPEAR: MELANIAUSDT (Board:secondary, Rounds:11, LastBBW:2.42%)
[2026-03-20 21:56:35] DISAPPEAR: MAGMAUSDT (Board:secondary, Rounds:11, LastBBW:2.21%)
[2026-03-20 21:56:35] DISAPPEAR: IRUSDT (Board:secondary, Rounds:2, LastBBW:3.18%)
[2026-03-20 23:01:52] DISAPPEAR: AERGOUSDT (Board:secondary, Rounds:8, LastBBW:1.32%)
[2026-03-20 23:01:52] DISAPPEAR: AEROUSDT (Board:secondary, Rounds:8, LastBBW:2.88%)
[2026-03-20 23:01:52] DISAPPEAR: AVAAIUSDT (Board:secondary, Rounds:3, LastBBW:3.37%)
[2026-03-20 23:01:52] DISAPPEAR: B2USDT (Board:secondary, Rounds:2, LastBBW:1.91%)
[2026-03-20 23:01:52] DISAPPEAR: GUAUSDT (Board:secondary, Rounds:2, LastBBW:5.03%)
[2026-03-20 23:01:52] DISAPPEAR: CROSSUSDT (Board:secondary, Rounds:2, LastBBW:5.84%)
[2026-03-21 00:07:45] DISAPPEAR: SWARMSUSDT (Board:secondary, Rounds:50, LastBBW:5.68%)
[2026-03-21 10:21:52] DISAPPEAR: XAIUSDT (Board:primary, Rounds:49, LastBBW:5.91%)
[2026-03-21 10:21:52] DISAPPEAR: XMRUSDT (Board:secondary, Rounds:31, LastBBW:3.79%)
[2026-03-21 10:21:52] DISAPPEAR: VINEUSDT (Board:secondary, Rounds:26, LastBBW:4.54%)
[2026-03-21 10:21:52] DISAPPEAR: TRADOORUSDT (Board:secondary, Rounds:26, LastBBW:3.78%)
[2026-03-21 10:21:52] DISAPPEAR: SKYUSDT (Board:primary, Rounds:19, LastBBW:2.13%)
[2026-03-21 10:21:52] DISAPPEAR: ALLOUSDT (Board:primary, Rounds:19, LastBBW:3.87%)
[2026-03-21 10:21:52] DISAPPEAR: API3USDT (Board:primary, Rounds:7, LastBBW:1.07%)
[2026-03-21 10:21:52] DISAPPEAR: MAGMAUSDT (Board:secondary, Rounds:7, LastBBW:4.81%)
[2026-03-21 10:21:52] DISAPPEAR: IRUSDT (Board:secondary, Rounds:5, LastBBW:3.61%)
[2026-03-21 10:21:52] DISAPPEAR: STBLUSDT (Board:secondary, Rounds:2, LastBBW:5.01%)
[2026-03-21 11:22:13] DISAPPEAR: ELSAUSDT (Board:secondary, Rounds:10, LastBBW:3.99%)
[2026-03-21 11:22:13] DISAPPEAR: BLESSUSDT (Board:secondary, Rounds:8, LastBBW:1.61%)
[2026-03-21 11:32:52] DISAPPEAR: IOTAUSDT (Board:primary, Rounds:3, LastBBW:1.60%)
[2026-03-21 11:32:52] DISAPPEAR: SONICUSDT (Board:secondary, Rounds:2, LastBBW:3.02%)
[2026-03-21 11:43:15] DISAPPEAR: TAIKOUSDT (Board:secondary, Rounds:54, LastBBW:1.30%)
[2026-03-21 11:43:15] DISAPPEAR: SQDUSDT (Board:secondary, Rounds:54, LastBBW:2.43%)
[2026-03-21 11:43:15] DISAPPEAR: TOSHIUSDT (Board:secondary, Rounds:38, LastBBW:2.05%)
[2026-03-21 11:43:15] DISAPPEAR: TRUSTUSDT (Board:secondary, Rounds:31, LastBBW:2.00%)
[2026-03-21 11:43:15] DISAPPEAR: RLSUSDT (Board:secondary, Rounds:12, LastBBW:2.26%)
[2026-03-21 11:43:15] DISAPPEAR: SAFEUSDT (Board:secondary, Rounds:5, LastBBW:2.60%)
[2026-03-21 12:04:22] DISAPPEAR: DOGEUSDT (Board:primary, Rounds:7, LastBBW:1.53%)
